"name","brand","country","year","type","color_dark","alcohol_vol_pct","original_wort","energy_kcal_100ml","carb_g_100ml","sugar_g_100ml"
"Puntigamer Maerzen","Puntigamer","Austria",2023,"Rest",0,5.1,11.5,40,2.7,0
"Puntigamer PR0,0ST","Puntigamer","Austria",2023,"Alkoholfrei",0,0,5.1,20,4.4,1.2
"Puntigamer Panther","Puntigamer","Austria",2023,"Rest",0,5.2,12.1,43,2.9,0
"Puntigamer Winterbier","Puntigamer","Austria",2023,"Rest",0,6,13.8,50,3.6,0
"Puntigamer Zwickl","Puntigamer","Austria",2023,"Rest",0,4.9,11.5,42,3.2,0
"Goesser Maerzen","Goesser","Austria",2023,"Rest",0,5.2,11.9,43,3,0
"Goesser Helles","Goesser","Austria",2023,"Rest",0,4.4,11.1,42,3.8,0
"Goesser Naturgold","Goesser","Austria",2023,"Alkoholfrei",0,0.5,7,27,5.7,2.7
"Goesser Spezial","Goesser","Austria",2023,"Rest",0,5.7,13.2,48,3.5,0
"Goesser Gold","Goesser","Austria",2023,"Rest",0,5.3,12.2,45,3.3,0
"Goesser Bock","Goesser","Austria",2023,"Bock",0,7.1,16.2,58,3.9,0
"Goesser Stiftsbraeu","Goesser","Austria",2023,"Rest",1,4.5,11.8,45,3.9,0
"Goesser Stifs-Zwickel hell","Goesser","Austria",2023,"Rest",0,5.2,11.8,43,3.4,0
"Goesser Stifs-Zwickel dunkel","Goesser","Austria",2023,"Rest",1,5.7,13.2,50,3.9,0
"Ottakringer Helles","Ottakringer","Austria",2023,"Rest",0,5.2,11.8,42,3.1,0
"Ottakringer Wiener Original","Ottakringer","Austria",2023,"Rest",0,5.3,12,43,2.9,0
"Ottakringer Bio Zwickel hell","Ottakringer","Austria",2023,"Rest",0,5.2,12.2,44,3.1,0
"Ottakringer Dunkles","Ottakringer","Austria",2023,"Rest",1,4.9,12.1,44,3,0
"Ottakringer Pils","Ottakringer","Austria",2023,"Rest",0,4.8,11.3,40,,
"Ottakringer Null Komma Josef","Ottakringer","Austria",2023,"Alkoholfrei",0,0.5,6.2,23,4.9,2.9
"Ottakringer Goldfassl","Ottakringer","Austria",2023,"Rest",0,5.6,12.7,46,,
"Ottakringer Sechzehn","Ottakringer","Austria",2023,"Rest",0,4.9,11.2,40,,
"Ottakringer Bio Pur","Ottakringer","Austria",2023,"Rest",0,5.2,11.8,43,,
"Ottakringer Rotes Zwickel","Ottakringer","Austria",2023,"Rest",0,5.2,12.2,44,,
"Ottakringer Gmischtes","Ottakringer","Austria",2023,"Rest",0,4.8,11.8,42,3,0
"Wieselburger Stammbraeu","Wieselburger","Austria",2023,"Rest",0,5.4,12.6,44,3,0.1
"Wieselburger Gold","Wieselburger","Austria",2023,"Rest",0,5,11.6,40,2.5,0.1
"Wieselburger Spezial","Wieselburger","Austria",2023,"Rest",0,5.7,13.1,46,3.1,0.12
"Wieselburger Schwarzbier","Wieselburger","Austria",2023,"Rest",1,4.8,11.6,43,3.8,0.11
"Wieselburger Zwickel","Wieselburger","Austria",2023,"Rest",0,5,11.6,40,2.7,0
"Wieselburger 0,0","Wieselburger","Austria",2023,"Alkoholfrei",0,0.05,5.1,20,4.4,1.2
"Hirter Maerzen","Hirter","Austria",2023,"Rest",0,5,11.8,44,3.6,0
"Hirter Privat Pils","Hirter","Austria",2023,"Rest",0,5.2,12.3,42,2.8,0
"Hirter 1270","Hirter","Austria",2023,"Rest",0,4.9,11.9,,,
"Hirter Kellermeister","Hirter","Austria",2023,"Rest",0,4.8,11.6,,,
"Hirter Morchl","Hirter","Austria",2023,"Rest",1,5,12.8,,,
"Hirter Freigeist","Hirter","Austria",2023,"Alkoholfrei",0,0.5,7.1,22,6.2,2.9
"Hirter Weizen","Hirter","Austria",2023,"Rest",0,5.4,12.5,,,
"Hirter Beerique Imperial Porter","Hirter","Austria",2023,"Rest",0,8.4,16.6,,,
"Stiegl Goldbraeu","Stiegl","Austria",2023,"Rest",0,5,12,43,2.6,0
"Stiegl Hell","Stiegl","Austria",2023,"Rest",0,4.5,11,37,2.4,0.5
"Stiegl Pils","Stiegl","Austria",2023,"Rest",0,4.9,11.4,41,2.2,0
"Stiegl Paracelsus Bio Zwickel","Stiegl","Austria",2023,"Rest",0,5.2,12,45,1.6,0
"Stiegl Weisse Naturtrueb","Stiegl","Austria",2023,"Rest",0,5.1,12,44,2.5,0
"Stiegl Sport Weisse Alkoholfrei","Stiegl","Austria",2023,"Alkoholfrei",0,0,,26,5.5,3
"Stiegl Bio Bock","Stiegl","Austria",2023,"Bock",0,7,16.5,60,3.9,0
"Stiegl Columbus 1492","Stiegl","Austria",2023,"Rest",0,4.7,11.3,39,2.7,0
"Stiegl Freibier","Stiegl","Austria",2023,"Alkoholfrei",0,0,,27,6.1,2.9
"Murauer Maerzen","Murauer","Austria",2023,"Rest",0,5.2,12.2,39,2,0.5
"Murauer Pils","Murauer","Austria",2023,"Rest",0,5.1,11.9,38,1.5,0
"Murauer Dunkel","Murauer","Austria",2023,"Rest",1,5.4,13,43,2.7,1
"Schwechater Bier","Schwechater","Austria",2023,"Rest",0,5,11.5,41,3,0.1
"Schwechater Zwickel","Schwechater","Austria",2023,"Rest",0,5.4,12.5,47,3.7,0
"Schwechater Wiener Lager","Schwechater","Austria",2023,"Rest",0,5.5,12.8,47,4,0
"Schwechater Alkoholfrei","Schwechater","Austria",2023,"Alkoholfrei",0,0.5,5.5,22,4.8,2.9
"Zipfer Urtyp","Zipfer","Austria",2023,"Rest",0,5.4,12.2,44,3.2,0
"Zipfer Maerzen","Zipfer","Austria",2023,"Rest",0,5,11.8,41,2.9,0
"Zipfer Kellerbier","Zipfer","Austria",2023,"Rest",0,5,11.7,44,3.6,0
"Zipfer Naturhopfen Pils","Zipfer","Austria",2023,"Rest",0,5.2,11.8,43,3,0
"Zipfer Sparkling","Zipfer","Austria",2023,"Rest",0,5.2,11.5,42,3,0
"Zipfer Drei","Zipfer","Austria",2023,"Rest",0,3,9.7,38,4.7,1.7
"Zipfer Hell Alkoholfrei","Zipfer","Austria",2023,"Alkoholfrei",0,0.5,6.8,26,5.7,3.3
"Zipfer Josefi Bock","Zipfer","Austria",2023,"Bock",0,7.1,16.2,58,3.9,0
"Zipfer Stefani Bock","Zipfer","Austria",2023,"Bock",0,7.1,16.2,58,3.9,0
"Zipfer Doppelgold","Zipfer","Austria",2023,"Rest",0,5.5,12.8,45,3.1,0
"Golser Premium","Golser","Austria",2023,"Rest",0,5,11.8,,,
"Golser Rotgold","Golser","Austria",2023,"Rest",0,,,,,
