"round","word","language","noun","player","try","aeiou","unique","common","rare"
1,"infam","German",0,"Player A",4,2,5,3,1
2,"notiz","German",1,"Player A",2,2,5,4,1
3,"zille","German",1,"Player A",4,2,4,4,1
4,"stoer","German",1,"Player A",2,2,5,5,0
5,"wiege","German",1,"Player A",5,3,4,3,1
6,"seife","German",1,"Player A",4,3,4,4,1
7,"wanne","German",1,"Player A",4,2,4,4,1
8,"trick","German",1,"Player A",4,2,5,4,1
9,"suite","German",1,"Player A",4,3,5,5,0
10,"macho","German",1,"Player A",4,3,5,3,1
11,"nackt","German",0,"Player A",4,2,5,4,1
12,"acker","German",1,"Player A",2,3,5,4,1
13,"kranz","German",1,"Player A",6,1,5,3,1
14,"einer","German",0,"Player A",2,3,4,5,0
15,"otter","German",1,"Player A",3,2,4,5,0
16,"stirn","German",1,"Player A",3,1,5,5,0
17,"waise","German",1,"Player A",4,3,5,4,1
18,"typen","German",1,"Player A",6,1,5,3,1
19,"wunde","German",1,"Player A",2,2,5,3,2
20,"taufe","German",1,"Player A",4,3,5,4,1
21,"wulst","German",1,"Player A",3,1,5,4,1
22,"fluor","German",1,"Player A",4,2,5,4,1
23,"pumpe","German",1,"Player A",6,2,4,2,0
24,"mumie","German",1,"Player A",4,3,4,3,0
25,"leute","German",1,"Player A",4,3,4,5,0
26,"assel","German",1,"Player A",3,2,4,5,0
27,"elite","German",1,"Player A",3,3,4,5,0
28,"video","German",1,"Player A",3,3,5,3,2
29,"abtei","German",1,"Player A",4,3,5,4,0
30,"pfund","German",1,"Player A",4,1,5,2,2
31,"gummi","German",1,"Player A",3,2,4,2,0
32,"bohne","German",1,"Player A",5,2,5,3,0
33,"titel","German",1,"Player A",4,2,4,5,0
34,"prosa","German",1,"Player A",3,2,5,4,0
35,"vorab","German",0,"Player A",4,2,5,3,1
36,"trieb","German",1,"Player A",3,2,5,4,0
37,"speer","German",1,"Player A",4,2,4,4,0
38,"eleve","German",1,"Player A",4,3,3,4,1
39,"stube","German",1,"Player A",5,2,5,4,0
40,"zutun","German",1,"Player A",4,2,4,4,1
41,"kasse","German",1,"Player A",5,2,4,4,0
42,"groll","German",1,"Player A",4,1,4,4,0
